target,target_id,disease,disease_id,clinical,clinical_reason,druggability,druggability_reason,pathway,pathway_reason,safety,safety_reason,composite,confidence
PCSK9,ENSG00000169174,coronary artery disease,EFO_0001645,4,Genetic score (genetic_association): 0.95,3,"SM(3): Structure with Ligand, High-Quality Ligand; AB(4): Approved Drug, GO CC high conf",4,4 pw: VLDLR internalisation and degradation; LDL clearance; Literature: 0.95,5,No safety liabilities reported,3.65,High
PCSK9,ENSG00000169174,familial hypercholesterolemia,EFO_0004911,4,Genetic score (genetic_literature): 0.90; Genetic score (genetic_association): 0.92; Genetic score (somatic_mutation): 0.04,3,"SM(3): Structure with Ligand, High-Quality Ligand; AB(4): Approved Drug, GO CC high conf",4,4 pw: VLDLR internalisation and degradation; LDL clearance; Literature: 0.90; Literature: 0.26,5,No safety liabilities reported,3.65,High
