target,target_id,disease,disease_id,clinical,clinical_reason,druggability,druggability_reason,pathway,pathway_reason,safety,safety_reason,composite,confidence
CDK4,ENSG00000135446,breast carcinoma,EFO_0000305,4,Genetic score (genetic_association): 0.00; Genetic score (somatic_mutation): 0.63,3,"SM(5): Approved Drug, Structure with Ligand",5,19 pw: Transcriptional regulation of white adip; Evasion of Oncogene Induced Senescence D; Literature: 0.94,5,No safety liabilities reported,3.9,High
CDK4,ENSG00000135446,ovarian carcinoma,EFO_0001075,4,Genetic score (genetic_association): 0.00; Genetic score (somatic_mutation): 0.62,3,"SM(5): Approved Drug, Structure with Ligand",4,19 pw: Transcriptional regulation of white adip; Evasion of Oncogene Induced Senescence D; Literature: 0.11,5,No safety liabilities reported,3.65,High
CDK6,ENSG00000105810,breast carcinoma,EFO_0000305,4,Genetic score (somatic_mutation): 0.87,3,"SM(5): Approved Drug, Structure with Ligand",4,9 pw: Regulation of RUNX1 Expression and Activ; Evasion of Oncogene Induced Senescence D; Literature: 0.25; Expression: 0.06,1,High LoF intolerance (pLI-like score=1.00),3.65,High
CDK6,ENSG00000105810,ovarian carcinoma,EFO_0001075,4,Genetic score (somatic_mutation): 0.72,3,"SM(5): Approved Drug, Structure with Ligand",4,9 pw: Regulation of RUNX1 Expression and Activ; Evasion of Oncogene Induced Senescence D; Literature: 0.03; Expression: 0.08,1,High LoF intolerance (pLI-like score=1.00),3.65,High
