target,target_id,disease,disease_id,clinical,clinical_reason,druggability,druggability_reason,pathway,pathway_reason,safety,safety_reason,composite,confidence
JAK1,ENSG00000162434,rheumatoid arthritis,EFO_0000685,4,Genetic score (genetic_association): 0.53,3,"SM(4): Approved Drug, Structure with Ligand; AB(2): GO CC high conf, UniProt loc med conf",5,30 pw: Interleukin-35 Signalling; Interleukin-10 signaling; Literature: 0.38,1,High LoF intolerance (pLI-like score=1.00),3.9,High
JAK2,ENSG00000096968,rheumatoid arthritis,EFO_0000685,4,Genetic score (genetic_association): 0.54,3,"SM(5): Approved Drug, Structure with Ligand; AB(2): GO CC high conf, UniProt loc med conf",5,38 pw: Signaling by SCF-KIT; Interleukin-35 Signalling; Literature: 0.45,5,No safety liabilities reported,3.9,High
TYK2,ENSG00000105397,rheumatoid arthritis,EFO_0000685,4,Genetic score (genetic_association): 0.92,3,"SM(5): Approved Drug, Structure with Ligand; AB(1): GO CC high conf",5,20 pw: Interleukin-35 Signalling; Interleukin-10 signaling; Literature: 0.78,5,No safety liabilities reported,3.9,High
JAK3,ENSG00000105639,rheumatoid arthritis,EFO_0000685,0,No clinical or genetic evidence found,3,"SM(5): Approved Drug, Structure with Ligand; AB(3): GO CC high conf, UniProt loc med conf",5,11 pw: Interleukin-21 signaling; Signaling by ALK; Literature: 0.34,5,No safety liabilities reported,2.3,Medium
