target,target_id,disease,disease_id,clinical,clinical_reason,druggability,druggability_reason,pathway,pathway_reason,safety,safety_reason,composite,confidence
BRAF,ENSG00000157764,cutaneous melanoma,EFO_0000389,4,Genetic score (somatic_mutation): 0.84,3,"SM(5): Approved Drug, Structure with Ligand; AB(3): UniProt loc high conf, GO CC high conf",5,16 pw: Gain-of-function MRAS complexes activate; Signalling to p38 via RIT and RIN; Literature: 0.72,1,High LoF intolerance (pLI-like score=1.00),3.9,High
BRAF,ENSG00000157764,non-small cell lung carcinoma,EFO_0003060,4,Genetic score (genetic_literature): 0.76; Genetic score (somatic_mutation): 0.87,3,"SM(5): Approved Drug, Structure with Ligand; AB(3): UniProt loc high conf, GO CC high conf",5,16 pw: Gain-of-function MRAS complexes activate; Signalling to p38 via RIT and RIN; Literature: 0.76; Literature: 0.98,1,High LoF intolerance (pLI-like score=1.00),3.9,High
KRAS,ENSG00000133703,non-small cell lung carcinoma,EFO_0003060,4,Genetic score (genetic_literature): 0.76; Genetic score (somatic_mutation): 0.92,3,"SM(3): Approved Drug, Structure with Ligand; AB(2): UniProt loc high conf, GO CC high conf",5,71 pw: Signalling to RAS; SHC-related events triggered by IGF1R; Literature: 0.76; Literature: 1.00,1,High LoF intolerance (pLI-like score=1.00),3.9,High
KRAS,ENSG00000133703,cutaneous melanoma,EFO_0000389,4,Genetic score (somatic_mutation): 0.68,3,"SM(3): Approved Drug, Structure with Ligand; AB(2): UniProt loc high conf, GO CC high conf",4,71 pw: Signalling to RAS; SHC-related events triggered by IGF1R; Literature: 0.17,1,High LoF intolerance (pLI-like score=1.00),3.65,High
