target,target_id,disease,disease_id,clinical,clinical_reason,druggability,druggability_reason,pathway,pathway_reason,safety,safety_reason,composite,confidence
PCSK9,ENSG00000169174,coronary artery disease,EFO_0001645,4,Genetic score (genetic_association): 0.95,3,"SM(3): Structure with Ligand, High-Quality Ligand; AB(4): Approved Drug, GO CC high conf",4,4 pw: VLDLR internalisation and degradation; LDL clearance; Literature: 0.95,5,No safety liabilities reported,3.65,High
PCSK9,ENSG00000169174,familial hypercholesterolemia,EFO_0004911,4,Genetic score (genetic_literature): 0.90; Genetic score (genetic_association): 0.92; Genetic score (somatic_mutation): 0.04,3,"SM(3): Structure with Ligand, High-Quality Ligand; AB(4): Approved Drug, GO CC high conf",4,4 pw: VLDLR internalisation and degradation; LDL clearance; Literature: 0.90; Literature: 0.26,5,No safety liabilities reported,3.65,High
HMGCR,ENSG00000113161,coronary artery disease,EFO_0001645,4,Genetic score (genetic_association): 0.75,3,"SM(5): Approved Drug, Structure with Ligand; AB(1): UniProt SigP or TMHMM",4,4 pw: Lanosterol biosynthesis; PPARA activates gene expression; Literature: 0.65,1,High LoF intolerance (pLI-like score=1.00),3.65,High
HMGCR,ENSG00000113161,familial hypercholesterolemia,EFO_0004911,4,Genetic score (genetic_association): 0.66,3,"SM(5): Approved Drug, Structure with Ligand; AB(1): UniProt SigP or TMHMM",4,4 pw: Lanosterol biosynthesis; PPARA activates gene expression; Literature: 0.22,1,High LoF intolerance (pLI-like score=1.00),3.65,High
ANGPTL3,ENSG00000132855,familial hypercholesterolemia,EFO_0004911,2,Genetic score (genetic_association): 0.30,3,"AB(4): Approved Drug, UniProt loc high conf",3,2 pw: NR1H2 & NR1H3 regulate gene expression l; Assembly of active LPL and LIPC lipase c; Literature: 0.17,5,No safety liabilities reported,2.6,Medium
ANGPTL3,ENSG00000132855,coronary artery disease,EFO_0001645,0,No clinical or genetic evidence found,3,"AB(4): Approved Drug, UniProt loc high conf",4,2 pw: NR1H2 & NR1H3 regulate gene expression l; Assembly of active LPL and LIPC lipase c; Literature: 0.93,5,No safety liabilities reported,2.05,Medium
